,qn_num,pg_num,pdf_name,text,img_path
1,1,2,images/2018-rosyth-p6-science/pg_2_2018-rosyth-p6-science.jpg,"Rooklet A1 Which of the following characteristic is found in insects, but not in other
animals?(1) They lay eggs.

(2) They have wings.

(3) They have feelers.

(4) They have three body parts.",TempImages/2.jpg;TempImages/1.jpg;TempImages/4.jpg
2,2,2,images/2018-rosyth-p6-science/pg_2_2018-rosyth-p6-science.jpg,"2 The graph below shows the change in the population of zebras in a grassiand
habitat over a petiod of time. Zebras feed on grass only.Which of the following events most likely could have fed to the change in the
zebra population from Point-A to Point B? :(1) There was a drought in the grassland.

(2) There was an introduction of a new disease.

(3) There was overeating of grass by animals in the grassland.

(4) There was a decrease in the population of the zebra's predators.",;TempImages/3.jpg
3,3,2,images/2018-rosyth-p6-science/pg_2_2018-rosyth-p6-science.jpg,"3 Which of the following shows how the carbon dioxide is removed from a
human body?(1) bloodstream ——» windpipe —* lungs -——> hose
(2) bloodstream —*> lungs —> windpipe -—> nose
(3) windpipe —> lungs —> bloodstream ——> nose
(4)nose —* windpipe -—> lungs —> bloodstream",
4,4,3,images/2018-rosyth-p6-science/pg_3_2018-rosyth-p6-science.jpg,Which one of the following ts correct?,TempImages/7.jpg;TempImages/6.jpg
5,5,3,images/2018-rosyth-p6-science/pg_3_2018-rosyth-p6-science.jpg,"(1) The population size of the fungus Is two.

(2) The rotting log is an example of a single plant populatiorr.,

(3) There is only one population of insect living on the rotting log.
(4) There are two populations of organisms living on the rotting log.",TempImages/5.jpg
6,6,4,images/2018-rosyth-p6-science/pg_4_2018-rosyth-p6-science.jpg,"Which of the following set-ups should the farmer use to provide a correct test
for both their predictions? :(1) (2)
Top soil G Top soil G Top soil G Top soil H
oo oo oo o>
Bottom soilG Bottom soil G Bottom soil!G Bottom soil H(3) . | (4)
ere) | eieSbe so Sol Eee
Top soil H -Top soil H Top soil G Top soil H
mers Biaceore a ftom. fen psc
eee lee co co| Eee
ess] bee co co| Beatie
Bottom soit H Bottom soil H Bottom soil G Bottom soil H",TempImages/9.jpg;TempImages/8.jpg
7,7,5,images/2018-rosyth-p6-science/pg_5_2018-rosyth-p6-science.jpg,"(1) OW spl

(2) Soil erosion _
(3) Deforestation

(4) Global warming5 Dennis wanted to find out if plant takes in water through its roots.
Which one of the following should Dennis use as an experimental set-up?2 2 EY
0 aay re, (2) St Se
plant Tal &F - aluminium plant Sl ge a
SD £Y foil SQ {7 aluminiom
= Perera cE ‘Ol
a
A vs ater ee _. water(4) RQ 2
Sal
plant AN (EEF
. Tt
aluminium . . = EF
foil “Sh
FF Sens 8 ; |
water ith — J",
8,8,5,images/2018-rosyth-p6-science/pg_5_2018-rosyth-p6-science.jpg,"(1) Controls cell activities

(2) Controls inheritance from one generation to another

(3) Controls the movement of substances within the cell

(4) Controls the movement of substances in and out of the cell",
9,9,6,images/2018-rosyth-p6-science/pg_6_2018-rosyth-p6-science.jpg,"An hour later, the water level in Set-up X was less than before. Wel Liang
also found tiny water droplets on the inner surface of the plastic bag in Set-up
X but not in Set-up Y.Based on Wei Liang’s observation, what conclusion could he make from his
experiment?(1) Water is absorbed through its roots.
_. + ».(2)-Water in both containers is lost through evaporation. .
. (3) Water dropiets formed is due to the presence of the plant.
(4) Water droplets formed is due to the presence of air in the plastic bag.",TempImages/10.jpg
10,10,7,images/2018-rosyth-p6-science/pg_7_2018-rosyth-p6-science.jpg,"VVhicn one of the following shows the correct movement of substances in the
plant?ee ee eee
(1)[ starch | water
(2)[ sugar | water
(4) oxygen carbon dioxide",TempImages/12.jpg;TempImages/11.jpg
