,qn_num,pg_num,pdf_name,text,img_path
1,1,3,images/P6_English_2019_CA1_CHIJ/pg_3_P6_English_2019_CA1_CHIJ.jpg,"Class : Primary 6Termly Assessment25 February 2019English LanguagePaper 2 Booklet A(1) carry

(2) carries

(3) carrying

(4) have carried",TempImages/4.jpg;TempImages/3.jpg;TempImages/2.jpg;TempImages/1.jpg
2,2,3,images/P6_English_2019_CA1_CHIJ/pg_3_P6_English_2019_CA1_CHIJ.jpg,"(1) is

(2) are
(3) was
(4) were",
3,3,3,images/P6_English_2019_CA1_CHIJ/pg_3_P6_English_2019_CA1_CHIJ.jpg,"(1) many
(2) much
(3) little
(A) few",
4,4,3,images/P6_English_2019_CA1_CHIJ/pg_3_P6_English_2019_CA1_CHIJ.jpg,"(1) despite

(2) besides

(3) because of
(4) resulting from",
5,5,4,images/P6_English_2019_CA1_CHIJ/pg_4_P6_English_2019_CA1_CHIJ.jpg,"(1} knock

(2) knocks

(3) knocked

(4) was knocking(1) isn'tit

(2) didn’t we
(3) hadn't you
(4) haven't you",;TempImages/5.jpg
6,6,4,images/P6_English_2019_CA1_CHIJ/pg_4_P6_English_2019_CA1_CHIJ.jpg,"(1) see

(2) saw

(3) seen

(4) been seeing",
7,7,4,images/P6_English_2019_CA1_CHIJ/pg_4_P6_English_2019_CA1_CHIJ.jpg,"(1) drunk
(2) drinks
(3) has drunk
(4) had drunk",
8,8,4,images/P6_English_2019_CA1_CHIJ/pg_4_P6_English_2019_CA1_CHIJ.jpg,"(1) Is delivering

(2) was delivered

(3) has been delivering
(4) have been delivered",
9,9,5,images/P6_English_2019_CA1_CHIJ/pg_5_P6_English_2019_CA1_CHIJ.jpg,,TempImages/6.jpg
10,10,5,images/P6_English_2019_CA1_CHIJ/pg_5_P6_English_2019_CA1_CHIJ.jpg,"(1) conscious
(2) respeciful
(3) productive
(4) conscientious",
11,11,5,images/P6_English_2019_CA1_CHIJ/pg_5_P6_English_2019_CA1_CHIJ.jpg,"(1) assaled
(2) criticised
(3) surrounded
(4) approached",
12,12,5,images/P6_English_2019_CA1_CHIJ/pg_5_P6_English_2019_CA1_CHIJ.jpg,"(1) extensively
(2) bountifully
(3) studiously
(4) plentifully(1) Dacked up
(2) backed into
(3) backed away
(4) backed down",
13,13,6,images/P6_English_2019_CA1_CHIJ/pg_6_P6_English_2019_CA1_CHIJ.jpg,"(1) aecomposed
(2) deteriorated
(3) desiructed
(4) degraded| developed my love for watercolour painting when | was a child. On my sixth birthday, Dad
gave me a palette of watercolour and that unleashed the magic of creative expressions in me. At
first, | painted without a specific aim. ! was not particular about what | painted — my favourite stool,
a memorable scene tome book | had read or even the banana | had for afternoon snack. As a
result, my paintings did not tell a story. Then, | became more accomplished with practiceOnce, we
went on a vacation to another country and Dad said that my colourful painting of a garden we visiied
vas the best souvenir of the trip.
With the encouragement of my parents and friends, my entiusiasm for painting grew.
While | have received many compliments that my paintings are artistic, | continue io take lessons to
improve my feqpqiaue.
it is my dream to be a well-known artist one day.
On",
14,14,6,images/P6_English_2019_CA1_CHIJ/pg_6_P6_English_2019_CA1_CHIJ.jpg,"76 (1) curiously
(2) randomly
(3) recklessly
(4) relentlessly",
15,15,6,images/P6_English_2019_CA1_CHIJ/pg_6_P6_English_2019_CA1_CHIJ.jpg,"Tf (4) an undeniable
(2) an irremovable
(3) an unbelievable
(4) an unforgeitable",
16,16,6,images/P6_English_2019_CA1_CHIJ/pg_6_P6_English_2019_CA1_CHIJ.jpg,"43d (1) adepi
(2) perfect
(3) correct
(4) accurate(‘Go on to the nexi page)",
17,17,7,images/P6_English_2019_CA1_CHIJ/pg_7_P6_English_2019_CA1_CHIJ.jpg,"19 ={1) talent
{2) apathy
(3) passion
(4) indifference",
18,18,11,images/P6_English_2019_CA1_CHIJ/pg_11_P6_English_2019_CA1_CHIJ.jpg,"20 {7} flair
(2) skills
(3} attitude
(4) guccess(Go on io the next page}",;TempImages/7.jpg;TempImages/8.jpg;TempImages/9.jpg
19,19,11,images/P6_English_2019_CA1_CHIJ/pg_11_P6_English_2019_CA1_CHIJ.jpg,"(1) to tell the readers about the history of the school.

(2) to inform the readers of the curriculum offered by the school

(3) to get readers interested in attending the school's open house

(4) to persuade readers that Shakesphere Secondary School is the right school for
them",
20,20,11,images/P6_English_2019_CA1_CHIJ/pg_11_P6_English_2019_CA1_CHIJ.jpg,"(‘I} frugal

(2) generous
(3) supported
(4) empathise",
21,21,11,images/P6_English_2019_CA1_CHIJ/pg_11_P6_English_2019_CA1_CHIJ.jpg,"(1) Mr Khoo Lee's hard work

(2) Mr Khoo Lee’s rapid promotion

(3) the business Mr Khoo Lee staried
(4) the money Mr Khoo Lee had saved",
22,22,11,images/P6_English_2019_CA1_CHIJ/pg_11_P6_English_2019_CA1_CHIJ.jpg,"(1) It Is one of the first tnstiiutions to offer a bilingual education.
(2) Its alumni are respected in a particular industry.

(3) it was founded by a group of philantnropists.

(4) It is now a school for the underprivileged.",
23,23,11,images/P6_English_2019_CA1_CHIJ/pg_11_P6_English_2019_CA1_CHIJ.jpg,"(1) get a tickei for the Principal's Talk as saon as possible
(2) talk to the teachers at the Academic Booths

(3) arrive at the auditorium at 9.30 a.m. sharp

(4) be at the auditorium after 3 p.m.",
24,24,12,images/P6_English_2019_CA1_CHIJ/pg_12_P6_English_2019_CA1_CHIJ.jpg,"(1) Should visitors wish to attend the Principal's Talk, they can obtain tickets fo;
either of the two sessions.

(2) Visitors can only interact with the teachers of the school at ihe Academic
Booths,

(3) Visitors going on the school tour should meet the guides at the Parade Square.

(4) All pupils can have a trial at the CCA booths to see if they like the CCA.",
25,25,12,images/P6_English_2019_CA1_CHIJ/pg_12_P6_English_2019_CA1_CHIJ.jpg,"(1) to give the definition of CCA

(2) to draw attention to the CCAs offered

(3) to list the different types of CCAs available

(4) to convey excitement that a number of CCAs are offered",
