,qn_num,pg_num,pdf_name,text,img_path
1,1,3,images/P6_Maths_CA1_2019_River_Valley_Exam_Papers/pg_3_P6_Maths_CA1_2019_River_Valley_Exam_Papers.jpg,"RIVER VALLEY PRIMARY SCHOOL |
CONTINUAL ASSESSMENT 120743MATHEMATICSPRIMARY SIX(BOOKLET A}1. There were 854 973 visitors to the Universal Studio last year. Express this
number to the nearest thousand.(7) 8 8©=—6 4. DOO(2) 850 000(3) 639 000(4) 3660 O00",;TempImages/1.jpg
2,2,3,images/P6_Maths_CA1_2019_River_Valley_Exam_Papers/pg_3_P6_Maths_CA1_2019_River_Valley_Exam_Papers.jpg,"2. . 2 _ &
Find the value of 475",
3,3,3,images/P6_Maths_CA1_2019_River_Valley_Exam_Papers/pg_3_P6_Maths_CA1_2019_River_Valley_Exam_Papers.jpg,3. Express 1./ as a percentage.(4) O017 %(2) U.1f %(3) Wt(4) 740%,
4,4,4,images/P6_Maths_CA1_2019_River_Valley_Exam_Papers/pg_4_P6_Maths_CA1_2019_River_Valley_Exam_Papers.jpg,(1) BCUandFG(2) 6G and DE(3) Abana BC(4) ABandFEG \,TempImages/3.jpg
5,5,4,images/P6_Maths_CA1_2019_River_Valley_Exam_Papers/pg_4_P6_Maths_CA1_2019_River_Valley_Exam_Papers.jpg,(1) 6km66m 6=km 6.6 km(2) 6kmé6m 6.6 km 6=km(3) 6=kmn 6.6 km 6 km 66 m(4) 6.6km 6 km 66m 62 km,TempImages/2.jpg
6,6,5,images/P6_Maths_CA1_2019_River_Valley_Exam_Papers/pg_5_P6_Maths_CA1_2019_River_Valley_Exam_Papers.jpg,(1) 390 gq(2) 350 kg(3} 35g(4) 35kg,
7,7,5,images/P6_Maths_CA1_2019_River_Valley_Exam_Papers/pg_5_P6_Maths_CA1_2019_River_Valley_Exam_Papers.jpg,"f. dhe tigure below shows Nuruh standing in a square field. She was facing
South at first. She then tumed anti-clockwise to face Point A of the field. How
many degrees did she turn in the anti-clockwise direction?(1). Teo""f2) 180""
(3) 225°(4). 270°",;TempImages/4.jpg
8,8,5,images/P6_Maths_CA1_2019_River_Valley_Exam_Papers/pg_5_P6_Maths_CA1_2019_River_Valley_Exam_Papers.jpg,"ot
°. Find the value of —- +p when p= 4.",
9,9,6,images/P6_Maths_CA1_2019_River_Valley_Exam_Papers/pg_6_P6_Maths_CA1_2019_River_Valley_Exam_Papers.jpg,"3. in tne figure, AB and CD are straight lines. Which one of the following
statements is true? .",
10,10,6,images/P6_Maths_CA1_2019_River_Valley_Exam_Papers/pg_6_P6_Maths_CA1_2019_River_Valley_Exam_Papers.jpg,,TempImages/5.jpg
11,11,6,images/P6_Maths_CA1_2019_River_Valley_Exam_Papers/pg_6_P6_Maths_CA1_2019_River_Valley_Exam_Papers.jpg,(1) Za=/c(2) £e= 4b(3) a = /ZerZd(4) ; 4e= 7b +246 .,
