,qn_num,pg_num,pdf_name,text,img_path
1,1,2,images/P6_Science_2019_SA2_CHIJ/pg_2_P6_Science_2019_SA2_CHIJ.jpg,"BOOKLET A .£4 AUGUST ZUT91. The two grapns below show now the lignt intensity and the depth of ine pond affect the
rate of photosynthesis of the submerged water plants.(7) dhe ugnt intensity aoes not affect ine rate of photosynthesis.

(2) The rate of photosynthesis increases as the light intensity increases.
(3)  Therate of photosynthesis does not depend on the depth of the pond.
(4) The fower the depth of the pond, the higher the rate of photosynthesis.",TempImages/5.jpg;TempImages/4.jpg;TempImages/3.jpg;TempImages/2.jpg;TempImages/1.jpg;TempImages/7.jpg;TempImages/6.jpg
2,2,2,images/P6_Science_2019_SA2_CHIJ/pg_2_P6_Science_2019_SA2_CHIJ.jpg,"2, Which one of the following is not a fossil fuel? -
(1) coat |
@) charcoal | . oe
(3) petroleum |
(4) _ natural gas |",
3,3,3,images/P6_Science_2019_SA2_CHIJ/pg_3_P6_Science_2019_SA2_CHIJ.jpg,"Ferlilized egg implants itself in the wombFrom the tabie above, wnen ts fhe eariiest time the parents are able to find out the
gender of their baby?(1) After 1° week

(2) After 8 week . :
(3) After 16"" week :
(4) After 38"" week .",
4,4,3,images/P6_Science_2019_SA2_CHIJ/pg_3_P6_Science_2019_SA2_CHIJ.jpg,"B More oxygen would be released Into the air.
Cc More carbon dioxide would be released into the air.
. p -More food and shelter would:-be.available for the animals.(1) AanaB omy
(2) Cand Donly
(3) . Band D-only

oo (4) A,B, GandD",
5,5,4,images/P6_Science_2019_SA2_CHIJ/pg_4_P6_Science_2019_SA2_CHIJ.jpg,"5. F, G, H, J and K are five organisms living in a community. The food relationships
between the five organisms are stated below::| Organism K feeds on Organism. J.‘| Organism F and J feed on Organism H.
e| Organism G.feeds on Organisms F and H:",;TempImages/9.jpg
6,6,4,images/P6_Science_2019_SA2_CHIJ/pg_4_P6_Science_2019_SA2_CHIJ.jpg,"Which one of the following best explains the function of these adaptations? _

(1) Adaptation for polintion, ee ee
"" (2) Adaptation|for reproduction. .

(3). Adaptation for water retention. Oe

(4) Adaptation for gétting suntight.",TempImages/8.jpg
7,7,5,images/P6_Science_2019_SA2_CHIJ/pg_5_P6_Science_2019_SA2_CHIJ.jpg,,TempImages/12.jpg;TempImages/11.jpg;TempImages/10.jpg
8,8,6,images/P6_Science_2019_SA2_CHIJ/pg_6_P6_Science_2019_SA2_CHIJ.jpg,"8. Study the food chain shown below.
|What is the mn source of energy for the food chain?(1) Sun | :
(2) Plant. |(3). Water |
(4) Carbon dioxide",;TempImages/15.jpg
9,9,6,images/P6_Science_2019_SA2_CHIJ/pg_6_P6_Science_2019_SA2_CHIJ.jpg,"(1) Aand B only
(2) Cand Donly
(3) BandD only
(4) A,B, CandD",TempImages/14.jpg;TempImages/13.jpg
11,11,7,images/P6_Science_2019_SA2_CHIJ/pg_7_P6_Science_2019_SA2_CHIJ.jpg,"There are more aquatic plants found at the top part of the deep pond. What is the main _
reason for such an observation? . -(4) | The aquatic plants can get sufficient nutrients to grow wei.
(2) | The aquatic plants can:absorb more sunlight for photosynthesis. /
. (3) The aquatic plants can take in oxygen from the alr above the water,
(4). Thé aquatic plants can provide shade and shelter for the aquatic animals living
in-the:pond.",TempImages/16.jpg
12,12,8,images/P6_Science_2019_SA2_CHIJ/pg_8_P6_Science_2019_SA2_CHIJ.jpg,"12. Study the diagram below.| : .
Which of the following substances will be retumed fo the environment and be
recycled? | _(1) Mineral salts only.

(2). Minerat salts and water only.

(3) - Carbon bioxide and mineral salts only.
(4). Carbon dioxide, mineral salis and water.",;TempImages/18.jpg
13,13,8,images/P6_Science_2019_SA2_CHIJ/pg_8_P6_Science_2019_SA2_CHIJ.jpg,"73. Jody poured 200 mi of water Info container P as shown in the diagram below. She
then poured all the water from container P to container Q. All the water was then
poured out from container Q to container R.(1), She was frying io find out if wafer nas definite mass. ,
. , 2) “She was tying to find out if water has a definite shape. ,
(3) . She was trying to find out if water has a definite. volume.
(4) She was trying to find out if water has definite mass and shape.",;TempImages/17.jpg
14,14,9,images/P6_Science_2019_SA2_CHIJ/pg_9_P6_Science_2019_SA2_CHIJ.jpg,"14. the diagram detiow shows three. identical beakers X, Y and: 2. Three pieces of
plasticine of different sizes were placed into the beakers. The-beakers were then filled
to the brim with water. -Which one of the following shows the most likely amount of water added into each
beaker? — i",;TempImages/21.jpg;TempImages/20.jpg
15,15,9,images/P6_Science_2019_SA2_CHIJ/pg_9_P6_Science_2019_SA2_CHIJ.jpg,"15. . Mei Ling wanted to investigate whether the size of a magnet affects the greatest
distance. it can attract a paper clip.(1) Aonly

(2) B, Cand D only,
(3) A,B, Dand& only
(4) B,C, DandE only",;TempImages/19.jpg
16,16,10,images/P6_Science_2019_SA2_CHIJ/pg_10_P6_Science_2019_SA2_CHIJ.jpg,"Wnich one oF ine tollowing statements Is faise’?(1) When the north pole of another magnet is placed under magnet P, the
wooden rod will tilt towards magnet P. ---

(2) When the north pole of another magnet is.placed under iron ball Q, the
wooden red will tilt fowards magnet P. ©"":

{3) | When the south pole of another magnet is placed under magnet P, the
wooden rod will tilt towards iron ball Q.

: (4) When the south pole of another magnet is placed. under tron-ball-Q, the

wooden rod will tit towards iron ball Q.",TempImages/22.jpg
17,17,11,images/P6_Science_2019_SA2_CHIJ/pg_11_P6_Science_2019_SA2_CHIJ.jpg,"1/7.  Jim-piaced a Coin al the bottom of a beaker as snown in the diagram below. He then

_ poured some water from river X into the beaker slowly and observed the coin from

above the beaker. He stopped pouring when he could not see the coin. clearly and
recorded the amount of water inthe beaker.He repeated the same experiment with water from rivers Y and Z. The table below
shows the results.Based.on Jim’s results, which of the following shows the clarity of water from rivers X,
Y and Z in the correct order?",;TempImages/26.jpg;TempImages/25.jpg;TempImages/24.jpg;TempImages/23.jpg
18,18,12,images/P6_Science_2019_SA2_CHIJ/pg_12_P6_Science_2019_SA2_CHIJ.jpg,"|
18. Study the set-up below.
|Based on the diagram above, which one of the following graphs shows the relationship
between X and! the length of the shadow observed orrthe screen?",;TempImages/31.jpg;TempImages/30.jpg;TempImages/29.jpg;TempImages/28.jpg;TempImages/27.jpg
19,19,13,images/P6_Science_2019_SA2_CHIJ/pg_13_P6_Science_2019_SA2_CHIJ.jpg,19... -Stuay the flow cnart below.,;TempImages/33.jpg;TempImages/32.jpg
20,20,14,images/P6_Science_2019_SA2_CHIJ/pg_14_P6_Science_2019_SA2_CHIJ.jpg,"| : :
20. Four masses were tied to four ropes made from different materiafs J, K, L and M as
shown in the diagram below. The ropes were all of similar thickness. When the masses
were lifted by the ropes, ropes K and L broke.(1}. AandBonly .
(2) CandD only

(3) A,CandD only

4) A.B, Cand|D",;TempImages/35.jpg;TempImages/34.jpg
21,21,15,images/P6_Science_2019_SA2_CHIJ/pg_15_P6_Science_2019_SA2_CHIJ.jpg,"21. - Astudy was conducted fo identify the factors that affect the evaporation rate
-. of some liquids. The table below shows the results of the investigation.(1) |The evaporation rate tor waier is tess inan tnat for aiconol.

(2} The larger the amounts of water the higher the evaporation rate.

(3) . Water has approximately the same evaporation rate as orange juice.
(4) The larger exposed surface areas of water had greater evaporation",;TempImages/36.jpg
