,qn_num,pg_num,pdf_name,text,img_path
1,1,3,images/P6_Science_SA2_2017_Red_Swastika_Exam_Papers/pg_3_P6_Science_SA2_2017_Red_Swastika_Exam_Papers.jpg,BOOKLET A,TempImages/2.jpg;TempImages/3.jpg;TempImages/1.jpg;TempImages/6.jpg
2,2,3,images/P6_Science_SA2_2017_Red_Swastika_Exam_Papers/pg_3_P6_Science_SA2_2017_Red_Swastika_Exam_Papers.jpg,"1. The tabie below snows information on four piants, W, X, Y and Z, based on
two characteristics. A tick (V) shows that the plant has the characteristics.From the information above, where do plants W, A, Y and Z, belong to in
the following classification chart? :Plant W Plant Z
(1) | D PBA
(2) | Cc A a ae ee
(3) Se Eee
(4) fA UE OD |",;TempImages/5.jpg;TempImages/4.jpg
3,3,4,images/P6_Science_SA2_2017_Red_Swastika_Exam_Papers/pg_4_P6_Science_SA2_2017_Red_Swastika_Exam_Papers.jpg,"Z. ‘dhe picture below shows some vegetabies and weeds growing together in
a vegetable farm.(1) Gand only

(2) 8, C, and E only
(3) A, 8, Dand E only
(45 ABC, DandE",;TempImages/9.jpg;TempImages/8.jpg;TempImages/7.jpg
4,4,5,images/P6_Science_SA2_2017_Red_Swastika_Exam_Papers/pg_5_P6_Science_SA2_2017_Red_Swastika_Exam_Papers.jpg,"3. Sam pasted jour ary green Dean seecs on a Styrofoam board. [he styrofoam
board was then lowered into a container filled with cooled boiled water
covered with a jayer of oil as shown in the diagram below.(4) Bony

(2) AandC only
(3) Band C only
(4) Band D only",;TempImages/11.jpg
5,5,5,images/P6_Science_SA2_2017_Red_Swastika_Exam_Papers/pg_5_P6_Science_SA2_2017_Red_Swastika_Exam_Papers.jpg,"VnICn One Of ine folowing correcily igenunhes A, B, & and D?

a ee ee ee c [op
(1) Sperm | Pollen |_Fertilisation [Pollination “|
(2) | Sperm [Pollen | Fertilisation’ |"" Fertilisation |
(3) Pollen | Sperm |__— Pollination [Pollination _|
(4) [Pollen | Sperm. | ___- Pollination. _‘]_ Fertilisation “|",TempImages/10.jpg
6,6,6,images/P6_Science_SA2_2017_Red_Swastika_Exam_Papers/pg_6_P6_Science_SA2_2017_Red_Swastika_Exam_Papers.jpg,"Which of the folowing corecily snows the trults of planis XxX, Y and Z
respectively?Xx Y
(1) 77 ks
Ss ie GY
| sk Cg ia
Fink OW
Ws. 62 YN — fibrous
| ° | SEF husk
! wing-like structure pod-like structure
(2) ST7 i kia
3 AAD |
j ¢, oN <7 i FOX +
| og i SCH FES oo
1 Fg Wes .
| Gh CHE mee |
| 5 PAS SE hooks
,  pod-like sinucture wing-like structure ° i
i
©) SEIS | Ge
(ow, LAE ET 0
A jl , he EAS : .
. LUE, SEM OS Y 2B
\ keg fibrous SE Neha o &
ROY ite k
ee husk oT }OOkS pod-like struciure
(4)  § ay dege “
NTN) Z = SS Ix lié |
iS owe. > 4
Se | OY RES
Sr Ne SS \ oe —~ fibrous WS
IES hooks SE rusk °
| wing-like structure",TempImages/12.jpg
7,7,7,images/P6_Science_SA2_2017_Red_Swastika_Exam_Papers/pg_7_P6_Science_SA2_2017_Red_Swastika_Exam_Papers.jpg,"6. The same amount of biood sampie was taxen from jour different blood
vessels in the body. The graph.below shows the comparison of the amount
of oxygen in the blood sample.Which of the following correctly shows where the biood sample was taken
from?(1) p

| =e]

of the body

| |
eo “ A

| | Other parts .

i | of the body D B Lungs
* ° c

ofthe body
° 8 2
i Other paris |",;TempImages/13.jpg
8,8,8,images/P6_Science_SA2_2017_Red_Swastika_Exam_Papers/pg_8_P6_Science_SA2_2017_Red_Swastika_Exam_Papers.jpg,"ct; OW
(2) xX

(3) ¥
(Ay 7",TempImages/15.jpg;TempImages/14.jpg
9,9,9,images/P6_Science_SA2_2017_Red_Swastika_Exam_Papers/pg_9_P6_Science_SA2_2017_Red_Swastika_Exam_Papers.jpg,"3. Study the three sel-ups. At the start, substance X in eacn set-up was
colourless. If. the amount of carbon dioxide increases, substance X will
change from colourless to chalky.(2} chal colourless |
(3) colourless
(4) chalk ;",;TempImages/16.jpg
10,10,10,images/P6_Science_SA2_2017_Red_Swastika_Exam_Papers/pg_10_P6_Science_SA2_2017_Red_Swastika_Exam_Papers.jpg,"9. The table below shows the organisms that are found ina pond community
and the food they eat.Which one of the following food webs shows ithe food relationship of the
organisms?(3) (a)
OL QO —
©)<—()",;TempImages/20.jpg;TempImages/19.jpg;TempImages/18.jpg;TempImages/17.jpg
