,Level,Question,isMCQ,A,B,C,D,Subject,Year,School,Exam,Number,Image,Image File
1,P6,SCIENCE| total time tor Booklets A & &: 14 45 min,,,,,,SCIENCE,2017,red_swastika_exam_papers,SA2,1,Yes,TempImages/9.jpg;TempImages/8.jpg;TempImages/7.jpg;TempImages/6.jpg;TempImages/5.jpg;TempImages/4.jpg;TempImages/3.jpg;TempImages/2.jpg;TempImages/1.jpg;TempImages/13.jpg
2,P6,"1. The table below shows information on four pianis, W, X, Y and Z, based on
two characteristics. A tick (V) shows that the plant has the characteristics.From the information above, where do plants W, X%, Y and Z, belong to in
the following classification chart? :",,"(4), D PBA
","(2) | Cc A a ae ee
","(3) Se Eee
(A) fA UE OD",,SCIENCE,2017,red_swastika_exam_papers,SA2,2,Yes,;TempImages/12.jpg;TempImages/11.jpg;TempImages/10.jpg
3,P6,"2. The picture below shows some vegetables and weeds growing together in
a vegetable farm.C: space-
D: — suntight
F- nutrients",,"(4) Cand D only

","(2) 8B, C, and E only
","(3) A,B, Dand E only
(45 A, B.C, DandE",,SCIENCE,2017,red_swastika_exam_papers,SA2,3,Yes,;TempImages/15.jpg;TempImages/14.jpg
4,P6,"3. Sam pasted four dry green Dean seeds on a styrofoam board. The styrofoam
board was then lowered into a container filled with cooled boiled water
covered with a jayer of oil as shown in the diagram below.",,"(1) B only

","(2) AandC only
","(3) Band C only
",(4) Band D only,SCIENCE,2017,red_swastika_exam_papers,SA2,4,Yes,;TempImages/18.jpg
5,P6,"4. The table below compares the sexual reproduction between humans and
flowering plants.Which one of the following correctly identines A, B, C and D’?",,"(1) Sperm | Pollen |__Fertilisation [Pollination “|
","(2) [Sperm [Pollen | Fertilisation” |"" Fertilisation _|
","(3) Pollen | Sperm | _Pollination | Pollination _|
",(4) [Pollen [Sperm | Pollination. [Fertilisation “_|,SCIENCE,2017,red_swastika_exam_papers,SA2,5,Yes,;TempImages/17.jpg;TempImages/16.jpg
6,P6,"Which of the following correcily shows the fruils of plants X, Y and 2
respectively?",,"(1) 7 ps
OF GEE ON
Gina OW
| OSs. é 3 | 7 7-— fibrous
! wing-like structure pod-like structure ~ musk
@) | oR | Athy |
| of SCH) | ESE :
j 1 dS Yl Ss - |
| Zoe | Cass SoS \ |
| 9 PA hooks :
,  pod-like sinucture wing-like structure ° i
i
","(3) aad ats,
ft | NBD
GES CEES {5
oO} Rae ow |
. YP} J ee i a
\ oy tbrous Sige ot
SR husk es jOOks pod-like structure
","(4)  § on ie
ERD YEN Ars
Rei fd ifo>~ th hf
Soe De, ‘ ; CO Z O
et See Ss \ dest fibrous cs
pA AOS SOI
eS hooks SEP husk
i wing-like structure",,SCIENCE,2017,red_swastika_exam_papers,SA2,6,Yes,TempImages/20.jpg;TempImages/19.jpg
7,P6,"6. The same amount of blood sample was taken from four different blood
vessels in the body. The graph.below shows the comparison of the amount
of oxygen in the blood sample.Which of the following correctly shows where the blood sample was taken
from?",,"(1) p

| =e]

of the body

| |
oF “ A

| | Other parts .

i | of the body D B Lungs
* ° c

ofthe body
° 8 2
i Other paris |",,,,SCIENCE,2017,red_swastika_exam_papers,SA2,7,Yes,;TempImages/22.jpg;TempImages/21.jpg
8,P6,"7. The diagram below shows the parts of plant A.(1; W

",,"(2) xX

","(3) ¥
",(4) 7,,SCIENCE,2017,red_swastika_exam_papers,SA2,8,Yes,;TempImages/26.jpg;TempImages/25.jpg;TempImages/24.jpg;TempImages/23.jpg
9,P6,"8. Study the three set-ups. At the start, substance X in each set-up was
colourless. If. the amount of carbon dioxide increases, substance X will
change from colourless to chalky.9. The table below shows the organisms that are found ina pond community
and the food they eat",,"(2) chal colourless
","(3) colourless
",(4) chalk :,,SCIENCE,2017,red_swastika_exam_papers,SA2,9,Yes,;TempImages/28.jpg;TempImages/27.jpg
10,P6,"Which one of the following food webs shows the food relationship of the
organisms?",,"(3) (A)
OL ©
()<—",,,,SCIENCE,2017,red_swastika_exam_papers,SA2,10,Yes,TempImages/33.jpg;TempImages/32.jpg;TempImages/31.jpg;TempImages/30.jpg;TempImages/29.jpg
